zoom,we tiles,ns tiles,total tiles,we pixel size [deg] (256px),we pixel size [deg] (512px),we pixel size [m] (256px),we pixel size [m] (512px)
0,2,1,2,0.7031250000,0.3515625000,"78,271.5170","39,135.7585"
1,4,2,8,0.3515625000,0.1757812500,"39,135.7585","19,567.8792"
2,8,4,32,0.1757812500,0.0878906250,"19,567.8792","9,783.9396"
3,16,8,128,0.0878906250,0.0439453125,"9,783.9396","4,891.9698"
4,32,16,512,0.0439453125,0.0219726563,"4,891.9698","2,445.9849"
5,64,32,"2,048",0.0219726563,0.0109863281,"2,445.9849","1,222.9925"
6,128,64,"8,192",0.0109863281,0.0054931641,"1,222.9925",611.4962
7,256,128,"32,768",0.0054931641,0.0027465820,611.4962,305.7481
8,512,256,"131,072",0.0027465820,0.0013732910,305.7481,152.8741
9,"1,024",512,"524,288",0.0013732910,0.0006866455,152.8741,76.4370
10,"2,048","1,024","2,097,152",0.0006866455,0.0003433228,76.4370,38.2185
11,"4,096","2,048","8,388,608",0.0003433228,0.0001716614,38.2185,19.1093
12,"8,192","4,096","33,554,432",0.0001716614,0.0000858307,19.1093,9.5546
13,"16,384","8,192","134,217,728",0.0000858307,0.0000429153,9.5546,4.7773
14,"32,768","16,384","536,870,912",0.0000429153,0.0000214577,4.7773,2.3887
15,"65,536","32,768","2,147,483,648",0.0000214577,0.0000107288,2.3887,1.1943
16,"131,072","65,536","8,589,934,592",0.0000107288,0.0000053644,1.1943,0.5972
17,"262,144","131,072","34,359,738,368",0.0000053644,0.0000026822,0.5972,0.2986
18,"524,288","262,144","137,438,953,472",0.0000026822,0.0000013411,0.2986,0.1493
19,"1,048,576","524,288","549,755,813,888",0.0000013411,0.0000006706,0.1493,0.0746
20,"2,097,152","1,048,576","2,199,023,255,552",0.0000006706,0.0000003353,0.0746,0.0373
21,"4,194,304","2,097,152","8,796,093,022,208",0.0000003353,0.0000001676,0.0373,0.0187
22,"8,388,608","4,194,304","35,184,372,088,832",0.0000001676,0.0000000838,0.0187,0.0093
